priority,model,status,training_crop_height,training_crop_width,training_gpu_count,training_batch_size_per_gpu,training_gradient_accumulation,training_effective_batch_size,training_workers,training_precision,training_optimizer,training_backbone_lr,training_fresh_component_lr,training_head_lr_multiplier,training_weight_decay,training_llrd,training_warmup_iterations,training_warmup_ratio,training_poly_power,training_gradient_clip,training_ema_decay,training_validation_interval,training_checkpoint_interval,training_objective,cityscapes_miou_mean,cityscapes_evaluation_weights,cityscapes_seeds,cityscapes_iterations_current,cityscapes_iterations_target,cityscapes_parameters,cityscapes_final_checkpoint_bytes,cityscapes_train_wall_clock_s_mean,cityscapes_gpu_hours_mean,cityscapes_train_peak_vram_bytes_per_device,cityscapes_full_validation_images_per_s_mean,railsem19_miou_mean,railsem19_evaluation_weights,railsem19_seeds,railsem19_iterations_current,railsem19_iterations_target,railsem19_parameters,railsem19_final_checkpoint_bytes,railsem19_train_wall_clock_s_mean,railsem19_gpu_hours_mean,railsem19_train_peak_vram_bytes_per_device,railsem19_full_validation_images_per_s_mean,cityscapes_to_railsem19_miou_mean,cityscapes_to_railsem19_evaluation_weights,cityscapes_to_railsem19_seeds,cityscapes_to_railsem19_iterations_current,cityscapes_to_railsem19_iterations_target,cityscapes_to_railsem19_parameters,cityscapes_to_railsem19_final_checkpoint_bytes,cityscapes_to_railsem19_train_wall_clock_s_mean,cityscapes_to_railsem19_gpu_hours_mean,cityscapes_to_railsem19_train_peak_vram_bytes_per_device,cityscapes_to_railsem19_full_validation_images_per_s_mean,cityscapes_to_railsem19_training_cost_scope,cityscapes_to_railsem19_cumulative_iterations,cityscapes_to_railsem19_cumulative_wall_clock_s,cityscapes_to_railsem19_cumulative_gpu_hours,cityscapes_to_railsem19_cumulative_peak_vram_bytes_per_device,standardized_inference_fps,standardized_inference_resident_parameter_bytes,standardized_inference_latency_ms,standardized_inference_latency_p50_ms,standardized_inference_latency_p95_ms,standardized_inference_peak_vram_bytes,standardized_inference_status
1,eomt_dinov3_large,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,1e-05,0.0001,10.0,0.05,0.75,1500,1e-06,0.9,1.0,0.9998,4000,4000,hungarian_query,0.8294199025110014,raw,1,40000,40000,,5039340794,50776.503774896264,14.104584381915629,18274582528,5.813706516297552,0.7144640807214855,raw,1,40000,40000,314917910,5039373562,49289.24344570935,13.691456512697041,18276679680,4.248137720538167,0.6984418186833982,raw,1,20000,20000,314917910,5039373690,27418.690006848425,7.616302779680118,17760780288,4.290947798688002,Rail20 adaptation only; excludes reused City40,60000,78195.19378174469,21.720887161595748,18274582528,41.22877599524977,1259671640,24.25490390777588,24.12339210510254,24.769894123077393,3359637504,complete
2,eomt_large,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,1e-05,0.0001,10.0,0.05,0.75,1500,1e-06,0.9,1.0,0.9998,4000,4000,hungarian_query,0.8271704620524519,raw,1,40000,40000,,5065997178,48402.03427186981,13.445009519963836,18098421760,6.2087769362092695,0.7213995632161119,raw,1,40000,40000,316580886,5066029946,52758.68958306685,14.655191550851903,17605591040,4.59458193872712,0.6995824679596218,raw,1,20000,20000,316580886,5066030074,26382.50322284922,7.328473117458117,17595105280,4.602636111938647,Rail20 adaptation only; excludes reused City40,60000,74784.53749471903,20.773482637421953,18098421760,45.912213962035025,1266323544,21.780696544647217,21.76255989074707,21.861530780792236,3351248896,complete
3,hf_auto_beit_base_ade,complete,640,640,1,4,4,16,8,bf16-mixed,AdamW,2e-05,0.0002,10.0,0.05,0.8,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.5705552323248048,raw,1,40000,40000,,2469944582,52807.427782416344,14.668729939560096,20971520000,0.7796247282769999,0.5417233165055734,raw,1,40000,40000,161500245,2469969094,78927.57554914802,21.924326541430005,17240686592,0.408511528251973,0.5142237069288982,raw,1,20000,20000,161500245,2469969286,39916.10590243712,11.087807195121423,16487809024,0.4065091808999519,Rail20 adaptation only; excludes reused City40,60000,92723.53368485346,25.75653713468152,20971520000,2.5215333313679,646000980,396.58408935546873,394.4601593017578,411.50718688964844,4049600512,complete
4,upernet_convnext,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.808846275135171,raw,1,40000,40000,,1294946243,48538.73553911969,13.482982094199913,11381243904,5.390354955583924,0.7065552587835299,raw,1,40000,40000,80887221,1294962563,61073.70402959362,16.964917785998228,11381243904,4.294466177591241,0.6931986648430688,raw,1,20000,20000,80887221,1294962691,34099.37225941196,9.472047849836656,10666115072,4.210299041221663,Rail20 adaptation only; excludes reused City40,60000,82638.10779853165,22.955029944036568,11381243904,43.06300350975865,323548884,23.22178943634033,23.1910400390625,23.350426483154298,2663383040,complete
5,segformer_b5,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.8229566597850715,raw,1,40000,40000,,1355686906,64781.68792533502,17.99491331259306,17513316352,4.879764576582849,0.7186683255231163,raw,1,40000,40000,84609493,1355711482,70698.51304668188,19.638475846300523,18190696448,3.4764436987727096,0.6929685539519317,raw,1,20000,20000,84609493,1355711610,38928.50132334232,10.813472589817312,17513316352,3.4078796833904996,Rail20 adaptation only; excludes reused City40,60000,103710.18924867734,28.80838590241037,17513316352,26.74247741707274,338437972,37.393693351745604,37.00172805786133,39.55256195068359,2755657728,complete
6,hf_auto_upernet_swin_tiny,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,0.9,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7875788204198348,raw,1,40000,40000,,944029786,51690.48571154848,14.35846825320791,9506390016,5.719435196808516,0.6975434419314867,raw,1,40000,40000,58953423,944046170,64420.82757169008,17.894674325469467,9531555840,4.512964175265007,0.6726482668970911,raw,1,20000,20000,58953423,944059418,,,,4.497736456228674,Rail20 adaptation only; excludes reused City40,60000,,,,42.33224752656839,235813692,23.62265314102173,23.47777557373047,24.46796875,2583691264,complete
7,hrnet_w48_ocr,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.8074895154918985,raw,1,40000,40000,,1173508223,69284.35101556405,19.245653059878904,18633195520,4.783971474494053,0.6851519906492681,raw,1,40000,40000,73168490,1173541055,100094.18909289315,27.80394141469254,18631098368,3.6755211752624337,0.6602545877353354,raw,1,20000,20000,73168490,1173541247,50062.993118561804,13.90638697737828,18633195520,3.6280252080976063,Rail20 adaptation only; excludes reused City40,60000,119347.34413412586,33.15204003725718,18633195520,30.752609785116793,292673960,32.517565402984616,32.10798454284668,34.727420234680174,1350565888,complete
8,native_resnet101_uper,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7835579014681887,raw,1,40000,40000,,982763136,28458.61756730452,7.905171546473478,7098859520,6.229778166243177,0.6848211375222685,raw,1,40000,40000,61323093,982771328,49163.53137623519,13.656536493398663,7361003520,5.331234449800912,0.6688957660998751,raw,1,20000,20000,61323093,982771456,24630.040566824377,6.841677935228994,7390363648,5.284688810437164,Rail20 adaptation only; excludes reused City40,60000,53088.6581341289,14.746849481702473,7390363648,65.19736083299836,245292372,15.338044166564941,15.191023826599121,16.647610187530518,1461714944,complete
9,segformer_b2,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.8048046371517641,raw,1,40000,40000,,438420722,29400.173023510724,8.166714728752979,13008633856,6.416498442180135,0.7041553291526159,raw,1,40000,40000,27362773,438445298,51454.31489157304,14.292865247659178,12591300608,5.038895919618929,0.6736845691606002,raw,1,20000,20000,27362773,438445426,25614.053820747882,7.115014950207745,12595494912,4.9632683458766635,Rail20 adaptation only; excludes reused City40,60000,55014.22684425861,15.281729678960723,13008633856,53.259860255199456,109451092,18.775866012573243,18.62912082672119,19.413040447235108,2420113408,complete
10,smp_upernet_resnet101,complete,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7815205369632912,raw,1,40000,40000,,902178591,33693.99115852639,9.359441988479553,6994001920,6.336046431068339,0.6716643745854436,raw,1,40000,40000,56281941,902186783,46526.38069781661,12.923994638282391,7197425664,5.482862152495553,0.6605613910983194,raw,1,20000,20000,56281941,902209823,,,,5.526499611881823,Rail20 adaptation only; excludes reused City40,60000,,,,71.010390786865,225127764,14.082446088790894,13.704704284667969,17.423565292358397,1549795328,complete
