id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
umamba_enc-seed0,umamba_enc,completed,,1,10000,10000,10000,0.34513466438774476,0.35714151938129507,0.7541131388973321,1,0.04857115778658125,36022580224,0.769483695557626,42,42,42,22808675,41580232704,True,170.0865840949118,0.2469330560284704,10.869221109896898,14.845639500208197,20187185152.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
segmamba-seed0,segmamba,completed,,2,10000,10000,10000,0.31182033233538314,0.3211751307876949,0.7355399554855259,5,0.04149280395772722,20714848768,0.7422691400841499,42,42,42,67362723,24257757184,True,141.51546961441636,0.29678734144356334,9.40242717973888,11.724665847606957,8640266240.0,,,,0.8809523809523809,0.5238095238095238,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
umamba_bot-seed0,umamba_bot,completed,,3,10000,10000,10000,0.3063088063862982,0.3215839421221648,0.7276320733902167,4,0.03988286581304338,16586521088,0.7621385647901869,42,42,42,22570531,19897778176,True,138.9348877929151,0.30229988066497554,9.199248751625419,13.821350722759952,5630853120.0,,,,0.8571428571428571,0.5,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
swin_unetr-seed0,swin_unetr,completed,,4,10000,10000,10000,0.22695677229620057,0.24460102081614007,0.7045156493099085,12,0.038238602413071525,26511265280,0.7166050916412713,42,42,42,15703029,40118517760,True,131.44752385094762,0.31951914170422174,9.332394372671843,11.750014244019985,10773069824.0,,,,0.9047619047619048,0.47619047619047616,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
unetr-seed0,unetr,completed,,5,10000,10000,10000,0.09653714369661481,0.11157701145275563,0.48100457837806165,23,0.040747792058520846,7206247424,0.48133428351141205,42,42,42,92783859,7868514304,True,137.99879006668925,0.30435049452030044,9.52970877662301,12.360907854512332,3623878656.0,,,,0.9047619047619048,0.2619047619047619,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
transunet_3d-seed0,transunet_3d,completed,,6,10000,10000,10000,0.3040537170137748,0.3101209887526347,0.7353525692697499,6,0.037444081571367055,10551982080,0.7553857136905331,42,42,42,102279168,12943622144,True,127.73881089687347,0.328795921185673,8.681408520787954,11.093466089479623,5186256896.0,,,,0.8571428571428571,0.5238095238095238,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
medformer-seed0,medformer,completed,,7,10000,10000,10000,0.3057017483165283,0.3272481349417819,0.7187466962519543,3,0.03947984801398383,32159837696,0.733065413176509,42,42,42,39591555,36391878656,True,137.8174555450678,0.3047509463434082,9.285018431022763,13.7471367938444,16336814080.0,,,,0.8333333333333334,0.5714285714285714,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
mednext_v1-seed0,mednext_v1,completed,,8,10000,10000,10000,0.2606438557262415,0.2844862390665283,0.6887676849863216,8,0.03700431671407488,31536906752,0.7246279637225898,42,42,42,5550947,37436260352,True,129.66125072538853,0.3239209846043551,8.91263216547668,10.7783820560202,9009364992.0,,,,0.8809523809523809,0.5,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
dynunet-seed0,dynunet,completed,,9,10000,10000,10000,0.2985828250356692,0.3298359547409563,0.7558945692980761,2,0.04178900751802656,8171400704,0.7607042808516026,42,42,42,16543683,11270094848,True,143.4457619935274,0.29279359261861726,9.568552682176232,14.43764670826494,4808769536.0,,,,0.9285714285714286,0.5952380952380952,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
segresnet-seed0,segresnet,completed,,5,10000,10000,10000,0.2991010203657485,0.3090477998115565,0.6609773205956568,7,0.03971974862946404,18329163264,0.7062825809526674,42,42,42,18796035,20998782976,True,136.98165154457092,0.30661040749924157,9.720562651753426,12.382628495618698,5175771136.0,,,,0.9285714285714286,0.6190476190476191,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
unet_3d-seed0,unet_3d,completed,,9,10000,10000,10000,0.16027857016747132,0.18327317209336416,0.6083926378431697,14,0.03857535302639008,1211810816,0.6427720962310375,42,42,42,7914603,1568669696,True,132.98267575353384,0.3158306129878268,9.949510226026177,12.834961936995386,1012924416.0,,,,0.7619047619047619,0.40476190476190477,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
mask2former-seed0,mask2former,completed,,6,10000,10000,10000,0.1489748596228193,0.1489748596228193,0.5843717250020641,16,0.056024173696835836,3788608512,0.5843717250020641,42,42,42,47404926,3984588800,True,195.35835763067007,0.21498952238020994,11.918428076431155,15.858649526908993,819986432.0,,,,0.9047619047619048,0.3333333333333333,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
maskformer-seed0,maskformer,completed,,9,10000,10000,10000,0.0,0.00047677427639855293,0.004425943275382046,27,0.043381279110908506,2486816768,0.008686858046796567,42,42,42,41722302,2757754880,True,149.95625362545252,0.2800816837215998,10.09949185885489,12.400815768539905,671088640.0,,,,1.0,0.0,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
dpt-seed0,dpt,completed,,3,10000,10000,10000,0.019889195924970012,0.06365070228808081,0.3643937185707654,25,0.03803221623102824,3335047680,0.40830395840142797,42,42,42,110694086,3529506816,True,128.7894626893103,0.3261136363408872,8.99027530476451,10.662546674348413,792723456.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
swin_upernet-seed0,swin_upernet,completed,,4,10000,10000,10000,0.10004147616126702,0.13907237390624888,0.5347550091285259,19,0.03506729543209076,2762998784,0.6046340545074154,42,42,42,59831744,2969567232,True,119.7905351780355,0.3506120073474805,8.513762887567282,10.385266127437351,840957952.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
convnext_upernet-seed0,convnext_upernet,completed,,8,10000,10000,10000,0.12000666673055257,0.12782992681244862,0.6405092086488133,20,0.03489143603377872,2588776960,0.6296924394999929,42,42,42,60132518,2726297600,True,118.86256210505962,0.35334927378460224,8.291597312316298,11.494914490357038,834666496.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
segformer_b2-seed0,segformer_b2,completed,,7,10000,10000,10000,0.1202831383410845,0.12183675956767455,0.3312737563793818,21,0.03584861139456431,2272594944,0.4104606441900228,42,42,42,27355203,2506096640,True,123.48978321999311,0.3401091078537108,8.499838594347239,10.294529855065047,761266176.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
hrnet_ocr-seed0,hrnet_ocr,completed,,5,10000,10000,10000,0.1278780019954348,0.1700754145094932,0.6617988259123374,15,0.04122341990470886,2042007552,0.6756426554282002,42,42,42,34919750,2155872256,True,143.07555720582604,0.29355118945704695,9.398172367364168,12.618740509636696,348127232.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
unet_plus_plus-seed0,unet_plus_plus,completed,,6,10000,10000,10000,0.23672132403368998,0.26010437825574867,0.6722318010304666,9,0.03680956337187025,1491537920,0.6919259795311169,42,42,42,26085171,1684013056,True,128.02293572947383,0.3280662153284041,9.189268635585904,11.893435337394475,503316480.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
deeplabv3_plus-seed0,deeplabv3_plus,completed,,3,10000,10000,10000,0.2420263073737623,0.25979363152012974,0.6229368643705083,10,0.03867733856042226,1153637888,0.6483249003026541,42,42,42,26684371,1216348160,True,134.68252901732922,0.31184445604370836,9.778737338259816,12.70931168030947,245366784.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
fpn-seed0,fpn,completed,,4,10000,10000,10000,0.20369284000937155,0.23990447871198065,0.6381802578842583,13,0.033508368134498596,814758912,0.6731442945095862,42,42,42,23161923,843055104,True,116.07012751698494,0.3618502098557098,8.147261537611485,11.75607046447694,260046848.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
unet_2d-seed0,unet_2d,completed,,9,10000,10000,10000,0.18164680266345423,0.25549897381910436,0.6630519666958486,11,0.03697335018051995,841179136,0.6722549388471671,42,42,42,24442931,905969664,True,128.63506058976054,0.32650507417993346,8.845967451110482,12.681629195436836,268435456.0,,,,,,,,d671d465903de887b4994a1c9bea4428644f12949a60ebfde47c8622c1aaacdf,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,predict
