run_id,model,invocation_number,action,status,wall_seconds,allocated_gpu_hours
umamba_enc-seed0,umamba_enc,1,predict,completed,174.8561680316925,0.04857115778658125
umamba_enc-seed0,umamba_enc,2,preprocess,completed,638.6341223716736,0.0
segmamba-seed0,segmamba,1,predict,completed,149.374094247818,0.04149280395772722
segmamba-seed0,segmamba,2,preprocess,completed,638.5701599121094,0.0
umamba_bot-seed0,umamba_bot,1,predict,completed,143.57831692695618,0.03988286581304338
umamba_bot-seed0,umamba_bot,2,preprocess,completed,638.7093343734741,0.0
swin_unetr-seed0,swin_unetr,1,predict,completed,137.6589686870575,0.038238602413071525
swin_unetr-seed0,swin_unetr,2,preprocess,completed,638.8298795223236,0.0
unetr-seed0,unetr,1,predict,completed,146.69205141067505,0.040747792058520846
unetr-seed0,unetr,2,preprocess,completed,638.7551259994507,0.0
transunet_3d-seed0,transunet_3d,1,predict,completed,134.7986936569214,0.037444081571367055
transunet_3d-seed0,transunet_3d,2,preprocess,completed,639.1299524307251,0.0
medformer-seed0,medformer,1,predict,completed,142.1274528503418,0.03947984801398383
medformer-seed0,medformer,2,preprocess,completed,638.6824340820312,0.0
mednext_v1-seed0,mednext_v1,1,predict,completed,133.21554017066956,0.03700431671407488
mednext_v1-seed0,mednext_v1,2,preprocess,completed,638.8721015453339,0.0
dynunet-seed0,dynunet,1,predict,completed,150.44042706489563,0.04178900751802656
dynunet-seed0,dynunet,2,preprocess,completed,638.981528043747,0.0
segresnet-seed0,segresnet,1,predict,completed,142.99109506607056,0.03971974862946404
segresnet-seed0,segresnet,2,preprocess,completed,29.994356870651245,0.0
unet_3d-seed0,unet_3d,1,predict,completed,138.87127089500427,0.03857535302639008
unet_3d-seed0,unet_3d,2,preprocess,completed,29.780949592590332,0.0
mask2former-seed0,mask2former,1,predict,completed,201.687025308609,0.056024173696835836
mask2former-seed0,mask2former,2,preprocess,completed,30.06578040122986,0.0
maskformer-seed0,maskformer,1,predict,completed,156.17260479927063,0.043381279110908506
maskformer-seed0,maskformer,2,preprocess,completed,29.7615864276886,0.0
dpt-seed0,dpt,1,predict,completed,136.91597843170166,0.03803221623102824
dpt-seed0,dpt,2,preprocess,completed,30.1846706867218,0.0
swin_upernet-seed0,swin_upernet,1,predict,completed,126.24226355552673,0.03506729543209076
swin_upernet-seed0,swin_upernet,2,preprocess,completed,30.20795512199402,0.0
convnext_upernet-seed0,convnext_upernet,1,predict,completed,125.6091697216034,0.03489143603377872
convnext_upernet-seed0,convnext_upernet,2,preprocess,completed,30.220167636871338,0.0
segformer_b2-seed0,segformer_b2,1,predict,completed,129.05500102043152,0.03584861139456431
segformer_b2-seed0,segformer_b2,2,preprocess,completed,27.84930658340454,0.0
hrnet_ocr-seed0,hrnet_ocr,1,predict,completed,148.4043116569519,0.04122341990470886
hrnet_ocr-seed0,hrnet_ocr,2,preprocess,completed,29.488308906555176,0.0
unet_plus_plus-seed0,unet_plus_plus,1,predict,completed,132.5144281387329,0.03680956337187025
unet_plus_plus-seed0,unet_plus_plus,2,preprocess,completed,29.626431941986084,0.0
deeplabv3_plus-seed0,deeplabv3_plus,1,predict,completed,139.23841881752014,0.03867733856042226
deeplabv3_plus-seed0,deeplabv3_plus,2,preprocess,completed,29.63496208190918,0.0
fpn-seed0,fpn,1,predict,completed,120.63012528419495,0.033508368134498596
fpn-seed0,fpn,2,preprocess,completed,30.006853580474854,0.0
unet_2d-seed0,unet_2d,1,predict,completed,133.10406064987183,0.03697335018051995
unet_2d-seed0,unet_2d,2,preprocess,completed,27.180970668792725,0.0
segformer_b0-seed0,segformer_b0,1,predict,completed,120.29331731796265,0.033414810366100736
segformer_b0-seed0,segformer_b0,2,preprocess,completed,29.699125289916992,0.0
pidnet-seed0,pidnet,1,predict,completed,118.26088619232178,0.032850246164533824
pidnet-seed0,pidnet,2,preprocess,completed,29.751246690750122,0.0
ddrnet-seed0,ddrnet,1,predict,completed,129.00641131401062,0.03583511425389184
ddrnet-seed0,ddrnet,2,preprocess,completed,28.73514699935913,0.0
bisenetv2-seed0,bisenetv2,1,predict,completed,115.71940183639526,0.03214427828788757
bisenetv2-seed0,bisenetv2,2,preprocess,completed,29.29454231262207,0.0
lraspp-seed0,lraspp,1,predict,completed,125.16177129745483,0.034767158693737456
lraspp-seed0,lraspp,2,preprocess,completed,29.138700485229492,0.0
