run_id,model,segment,epoch,step,epoch_training_seconds,epoch_validation_seconds,epoch_checkpoint_seconds,wall_seconds,peak_allocated_bytes,peak_reserved_bytes
dynunet-control10k-seed0,dynunet,current,1,100,23.548433795571327,97.24991170689464,0.4219920001924038,120.79838157817721,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,2,200,22.49858131632209,5.8300793170928955e-06,0.42573123797774315,143.7231829725206,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,3,300,22.53739356994629,7.189810276031494e-07,0.5062082298099995,166.68819508329034,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,4,400,22.769469395279884,6.854534149169922e-07,0.44357702136039734,189.96619306132197,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,5,500,22.609192475676537,8.791685104370117e-07,0.47281134128570557,213.02424861863256,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,6,600,22.621768854558468,8.605420589447021e-07,0.462989404797554,236.12097405269742,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,7,700,22.632783584296703,7.413327693939209e-07,0.4432948939502239,259.21879463642836,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,8,800,22.650654952973127,7.115304470062256e-07,0.4379599504172802,282.3148298151791,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,9,900,22.609555661678314,8.903443813323975e-07,0.43622686713933945,305.364253886044,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,10,1000,22.612652573734522,69.28590396791697,0.5230625867843628,397.7011087052524,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,11,1100,22.546319365501404,9.685754776000977e-07,0.4411642923951149,420.7759051769972,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,12,1200,22.5829367749393,9.462237358093262e-07,0.4583270065486431,443.8019064553082,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,13,1300,22.593249641358852,7.37607479095459e-07,0.46642350405454636,466.85558180511,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,14,1400,22.604709837585688,7.078051567077637e-07,0.476761881262064,489.92883947119117,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,15,1500,22.592859271913767,9.015202522277832e-07,0.45781322568655014,513.001178290695,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,16,1600,22.599813263863325,8.009374141693115e-07,0.4655870273709297,536.0615426823497,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,17,1700,22.6119117513299,8.009374141693115e-07,0.46718399599194527,559.1409810632467,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,18,1800,22.62559289485216,4.656612873077393e-06,0.44645005092024803,582.2362220622599,8171400704.0,11270094848.0
