id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
nnunet_resenc_l-seed0,nnunet_resenc_l,running,train,0,105250,250000,,,,,,0,,,,42,,,,False,,,,,,,,,,,,,600a666367cc1eea377235527b5d7788b3853b79b3024d90e8eb5603aee60248,,
umamba_enc-seed0,umamba_enc,completed,,1,10000,10000,10000,0.34513466438774476,0.35714151938129507,0.7541131388973321,1,5.018965695699055,36022580224,0.769483695557626,42,42,42,22808675,41580232704,True,,,7.56135774217546,11.806126257590948,,17.11373246149256,58.428415298461914,58.49743423461914,0.8571428571428571,0.5952380952380952,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
segmamba-seed0,segmamba,completed,,2,10000,10000,10000,0.31182033233538314,0.3211751307876949,0.7355399554855259,5,4.799943697584999,20714848768,0.7422691400841499,42,42,42,67362723,24257757184,True,,,8.459491280838847,12.949620592780409,,20.23217323330314,49.41414260864258,49.49877815246582,0.8809523809523809,0.5238095238095238,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
umamba_bot-seed0,umamba_bot,completed,,3,10000,10000,10000,0.3063088063862982,0.3215839421221648,0.7276320733902167,4,2.3422364959451887,16586521088,0.7621385647901869,42,42,42,22570531,19897778176,True,,,7.493084175512195,11.45727767143398,,44.95810881097486,22.24179172515869,22.27302360534668,0.8571428571428571,0.5,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
swin_unetr-seed0,swin_unetr,completed,,4,10000,10000,10000,0.22695677229620057,0.24460102081614007,0.7045156493099085,12,2.4875962662034565,26511265280,0.7166050916412713,42,42,42,15703029,40118517760,True,,,6.656111393123865,9.757382867485285,,32.90056608642922,30.34777545928955,30.628402614593504,0.9047619047619048,0.47619047619047616,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
unetr-seed0,unetr,completed,,5,10000,10000,10000,0.09653714369661481,0.11157701145275563,0.48100457837806165,23,1.2241646435525682,7206247424,0.48133428351141205,42,42,42,92783859,7868514304,True,,,5.825627442449331,8.430408850125968,,64.99871461263089,15.378432273864746,15.409356355667114,0.9047619047619048,0.2619047619047619,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
transunet_3d-seed0,transunet_3d,completed,,6,10000,10000,10000,0.3040537170137748,0.3101209887526347,0.7353525692697499,6,1.497316053642167,10551982080,0.7553857136905331,42,42,42,102279168,12943622144,True,,,6.107558144256473,8.529355441965162,,54.49833990598217,18.33779239654541,18.6639235496521,0.8571428571428571,0.5238095238095238,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
medformer-seed0,medformer,completed,,7,10000,10000,10000,0.3057017483165283,0.3272481349417819,0.7187466962519543,3,3.023119058675236,32159837696,0.733065413176509,42,42,42,39591555,36391878656,True,,,6.683026710525155,11.520171093568205,,24.731197243217185,40.41983985900879,40.54343681335449,0.8333333333333334,0.5714285714285714,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
mednext_v1-seed0,mednext_v1,completed,,8,10000,10000,10000,0.2606438557262415,0.2844862390665283,0.6887676849863216,8,2.6760805233319602,31536906752,0.7246279637225898,42,42,42,5550947,37436260352,True,,,7.201682155951858,10.86808089800179,,39.133898677125714,25.5534086227417,25.580749225616454,0.8809523809523809,0.5,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-seed0,dynunet,completed,,9,10000,10000,10000,0.2985828250356692,0.3298359547409563,0.7558945692980761,2,1.3022694617509842,8171400704,0.7607042808516026,42,42,42,16543683,11270094848,True,,,5.778729096055031,8.682252531684934,,115.02663856772668,8.683007717132568,8.80527367591858,0.9285714285714286,0.5952380952380952,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
segresnet-seed0,segresnet,completed,,5,10000,10000,10000,0.2991010203657485,0.3090477998115565,0.6609773205956568,7,1.8366939026779598,18329163264,0.7062825809526674,42,42,42,18796035,20998782976,True,,,7.708664126694202,26.15413389969615,,39.79156900982684,25.1212797164917,25.21881628036499,0.9285714285714286,0.6190476190476191,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
unet_3d-seed0,unet_3d,completed,,9,10000,10000,10000,0.16027857016747132,0.18327317209336416,0.6083926378431697,14,0.7878166977564494,1211810816,0.6427720962310375,42,42,42,7914603,1568669696,True,,,5.588414100930095,7.90239893309772,,704.8670794345167,1.410048007965088,1.4343680083751678,0.7619047619047619,0.40476190476190477,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
mask2former-seed0,mask2former,completed,,6,10000,10000,10000,0.1489748596228193,0.1489748596228193,0.5843717250020641,16,1.844202900065316,3788608512,0.5843717250020641,42,42,42,47404926,3984588800,True,,,11.874458715319633,22.366299580596387,,21.882287264774593,44.98329734802246,48.15549564361572,0.9047619047619048,0.3333333333333333,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
maskformer-seed0,maskformer,completed,,9,10000,10000,10000,0.0,0.00047677427639855293,0.004425943275382046,27,1.3831716039445665,2486816768,0.008686858046796567,42,42,42,41722302,2757754880,True,,,9.971655379980803,18.732753826491532,,39.29775989606578,25.266176223754883,26.218188571929932,1.0,0.0,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dpt-seed0,dpt,completed,,3,10000,10000,10000,0.019889195924970012,0.06365070228808081,0.3643937185707654,25,1.1229927201403511,3335047680,0.40830395840142797,42,42,42,110694086,3529506816,True,,,6.725968511775136,14.905514605343338,,78.85799719795165,12.601343631744385,13.015858888626099,0.7857142857142857,0.16666666666666666,,,b47f6e6f9c026ffdba8f5a5aa33a6508c45a155ff1bab363be998a5a34a86756,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
