run_id,model,invocation_number,action,status,wall_seconds,allocated_gpu_hours
nnunet_resenc_l-seed0,nnunet_resenc_l,1,other,completed,384.15498399734497,0.0
umamba_enc-seed0,umamba_enc,1,predict,completed,351.62375712394714,0.09767326586776309
umamba_enc-seed0,umamba_enc,2,preprocess,completed,30.23946261405945,0.0
umamba_enc-seed0,umamba_enc,3,train,completed,17716.652747392654,4.921292429831293
segmamba-seed0,segmamba,1,predict,completed,405.00149393081665,0.1125004149807824
segmamba-seed0,segmamba,2,preprocess,completed,29.665613889694214,0.0
segmamba-seed0,segmamba,3,train,completed,16874.795817375183,4.687443282604217
umamba_bot-seed0,umamba_bot,1,predict,completed,321.94502902030945,0.08942917472786374
umamba_bot-seed0,umamba_bot,2,preprocess,completed,29.742249488830566,0.0
umamba_bot-seed0,umamba_bot,3,train,completed,8110.10635638237,2.252807321217325
swin_unetr-seed0,swin_unetr,1,predict,completed,301.58459734916687,0.08377349926365746
swin_unetr-seed0,swin_unetr,2,preprocess,completed,30.07237720489502,0.0
swin_unetr-seed0,swin_unetr,3,train,completed,8653.761960983276,2.403822766939799
unetr-seed0,unetr,1,predict,completed,294.739413022995,0.08187205917305417
unetr-seed0,unetr,2,preprocess,completed,30.08572769165039,0.0
unetr-seed0,unetr,3,train,completed,4112.253303766251,1.142292584379514
transunet_3d-seed0,transunet_3d,1,predict,completed,295.6788468360901,0.08213301301002503
transunet_3d-seed0,transunet_3d,2,preprocess,completed,29.996201753616333,0.0
transunet_3d-seed0,transunet_3d,3,train,completed,5094.658946275711,1.415183040632142
medformer-seed0,medformer,1,predict,completed,329.7445785999298,0.09159571627775828
medformer-seed0,medformer,2,preprocess,completed,30.180715799331665,0.0
medformer-seed0,medformer,3,train,completed,10553.48403263092,2.931523342397478
mednext_v1-seed0,mednext_v1,1,predict,completed,322.33367109298706,0.08953713085916307
mednext_v1-seed0,mednext_v1,2,preprocess,completed,30.42868685722351,0.0
mednext_v1-seed0,mednext_v1,3,train,completed,9311.55621290207,2.586543392472797
dynunet-seed0,dynunet,1,predict,completed,268.6492807865143,0.07462480021847619
dynunet-seed0,dynunet,2,preprocess,completed,29.97784185409546,0.0
dynunet-seed0,dynunet,3,train,completed,4419.520781517029,1.227644661532508
segresnet-seed0,segresnet,1,predict,completed,426.5140063762665,0.11847611288229624
segresnet-seed0,segresnet,2,preprocess,completed,28.430503368377686,0.0
segresnet-seed0,segresnet,3,train,completed,6185.584043264389,1.7182177897956636
unet_3d-seed0,unet_3d,1,predict,completed,247.57435584068298,0.06877065440018972
unet_3d-seed0,unet_3d,2,preprocess,completed,29.01818060874939,0.0
unet_3d-seed0,unet_3d,3,train,completed,2588.565756082535,0.7190460433562597
mask2former-seed0,mask2former,1,predict,completed,565.9902255535126,0.15721950709819793
mask2former-seed0,mask2former,2,preprocess,completed,28.0352783203125,0.0
mask2former-seed0,mask2former,3,train,completed,6073.140214681625,1.686983392967118
maskformer-seed0,maskformer,1,predict,completed,496.91857051849365,0.13803293625513713
maskformer-seed0,maskformer,2,preprocess,completed,28.120693683624268,0.0
maskformer-seed0,maskformer,3,train,completed,4482.499203681946,1.2451386676894294
dpt-seed0,dpt,1,predict,completed,366.9667704105377,0.10193521400292714
dpt-seed0,dpt,2,preprocess,completed,30.837117195129395,0.0
dpt-seed0,dpt,3,train,completed,3675.8070220947266,1.021057506137424
swin_upernet-seed0,swin_upernet,1,predict,completed,345.97793340682983,0.09610498150189718
swin_upernet-seed0,swin_upernet,2,preprocess,completed,27.904723405838013,0.0
swin_upernet-seed0,swin_upernet,3,train,completed,3760.5814406871796,1.0446059557464387
convnext_upernet-seed0,convnext_upernet,1,predict,completed,351.59484577178955,0.09766523493660821
convnext_upernet-seed0,convnext_upernet,2,preprocess,completed,28.660971641540527,0.0
convnext_upernet-seed0,convnext_upernet,3,train,completed,3863.261325597763,1.0731281459993787
segformer_b2-seed0,segformer_b2,1,predict,completed,367.8133373260498,0.10217037147945827
segformer_b2-seed0,segformer_b2,2,preprocess,completed,28.790658712387085,0.0
segformer_b2-seed0,segformer_b2,3,train,completed,3529.6872992515564,0.9804686942365435
hrnet_ocr-seed0,hrnet_ocr,1,predict,completed,401.36875891685486,0.11149132192134857
hrnet_ocr-seed0,hrnet_ocr,2,preprocess,completed,28.674110174179077,0.0
hrnet_ocr-seed0,hrnet_ocr,3,train,completed,4910.961798429489,1.3641560551193026
unet_plus_plus-seed0,unet_plus_plus,1,predict,completed,328.247989654541,0.09117999712626139
unet_plus_plus-seed0,unet_plus_plus,2,preprocess,completed,28.61707067489624,0.0
unet_plus_plus-seed0,unet_plus_plus,3,train,completed,3067.2157123088837,0.8520043645302454
deeplabv3_plus-seed0,deeplabv3_plus,1,predict,completed,285.3183443546295,0.07925509565406376
deeplabv3_plus-seed0,deeplabv3_plus,2,preprocess,completed,28.87536883354187,0.0
deeplabv3_plus-seed0,deeplabv3_plus,3,train,completed,3054.5065870285034,0.848474051952362
fpn-seed0,fpn,1,predict,completed,253.49549102783203,0.07041541417439778
fpn-seed0,fpn,2,preprocess,completed,31.26889944076538,0.0
fpn-seed0,fpn,3,train,completed,2248.9796550273895,0.6247165708409416
unet_2d-seed0,unet_2d,1,predict,completed,318.12715196609497,0.08836865332391527
unet_2d-seed0,unet_2d,2,preprocess,completed,28.830037117004395,0.0
unet_2d-seed0,unet_2d,3,train,completed,2590.072200536728,0.7194645001490911
segformer_b0-seed0,segformer_b0,1,predict,completed,294.35337138175964,0.08176482538382213
segformer_b0-seed0,segformer_b0,2,preprocess,completed,28.687060117721558,0.0
segformer_b0-seed0,segformer_b0,3,train,completed,3135.6193602085114,0.8710053778356976
pidnet-seed0,pidnet,1,predict,completed,276.8278532028198,0.07689662588967218
pidnet-seed0,pidnet,2,preprocess,completed,28.63399052619934,0.0
pidnet-seed0,pidnet,3,train,completed,2983.875912427902,0.8288544201188617
ddrnet-seed0,ddrnet,1,predict,completed,263.289559841156,0.07313598884476556
ddrnet-seed0,ddrnet,2,preprocess,completed,28.769221305847168,0.0
ddrnet-seed0,ddrnet,3,train,completed,2593.0786435604095,0.7202996232112249
bisenetv2-seed0,bisenetv2,1,predict,completed,245.65780329704285,0.06823827869362302
bisenetv2-seed0,bisenetv2,2,preprocess,completed,28.36540460586548,0.0
bisenetv2-seed0,bisenetv2,3,train,completed,2291.149412870407,0.636430392464002
lraspp-seed0,lraspp,1,predict,completed,248.92517280578613,0.0691458813349406
lraspp-seed0,lraspp,2,preprocess,completed,28.85594892501831,0.0
lraspp-seed0,lraspp,3,train,completed,2632.385083913803,0.7312180788649453
